,datetime,average emotion -,average emotion +
1581cheese,2015-09-15 00:00,0.6873202537627074,0.18855021306637593
1581cheese,2015-09-19 00:00,0.6598523878016347,0.2573856516290727
1581cheese,2015-09-20 00:00,0.6467101236862266,0.16072217181911058
1581cheese,2015-09-21 00:00,0.605502493266704,0.12309721984886457
1581cheese,2015-09-22 00:00,0.5705097021121457,0.2526988636363637
1581cheese,2015-09-23 00:00,0.24687499999999996,0.5371895099849646
3758hummus,2015-04-09 00:00,0.2602722086174494,0.46188719151665214
3758hummus,2015-04-10 00:00,0.1833733056011497,0.6311550869276062
3758hummus,2015-04-11 00:00,0.20034081746423898,0.6660989437029081
3758hummus,2015-04-12 00:00,0.24995454827715857,0.6915082246164458
3758hummus,2015-04-13 00:00,0.25046430663174357,0.6712007522542344
3758hummus,2015-04-14 00:00,0.0892781047077922,0.8033826694228584
3758hummus,2015-04-15 00:00,0.3902069160997733,0.6907990207956726
3758hummus,2015-04-16 00:00,0,0.5954741887042307
3758hummus,2015-04-17 00:00,0.21320571410382333,0.6061661877394635
3758hummus,2015-04-18 00:00,0.2985650510204082,0.030555555555555523
815nestle,2016-10-08 00:00,0.6732688013045157,0.2510374301820276
815nestle,2016-10-09 00:00,0.5694413216320412,0.22322335724590794
815nestle,2016-10-10 00:00,0.5630276057255742,0.22973818856970626
815nestle,2016-10-11 00:00,0.6265978532049962,0.18514562619919764
815nestle,2016-10-12 00:00,0.5936618566618567,0.23324738986503693
815nestle,2016-10-13 00:00,0.4295685049077907,0.12159767316017317
815nestle,2016-10-14 00:00,0.5584528318903318,0.4004166666666667
815nestle,2016-10-15 00:00,0.24838150853775853,0.0708333333333333
815nestle,2016-10-16 00:00,0.3292892156862745,0.2121362433862434
868spinach,2015-03-21 00:00,0.46854041357746856,0.3051227005560382
868spinach,2015-03-24 00:00,0.46287288959140627,0.2999161605137901
868spinach,2015-03-25 00:00,0.41087102165795775,0.2978452182543569
868spinach,2015-03-26 00:00,0.39961237494081886,0.2493759746053702
868spinach,2015-03-27 00:00,0.425362074793893,0.29169268777697954
868spinach,2015-03-28 00:00,0.5208189364297318,0.23402777777777778
db_bell,2015-03-14 00:00,0.5883585053845987,0.21180388032766928
db_bell,2015-03-16 00:00,0.5258893191354002,0.15523083488769765
db_bell,2015-03-17 00:00,0.7193372264173736,0.16329943545017073
db_bell,2015-03-18 00:00,0.3947303921568628,0.4409571983777415
db_bell,2015-03-19 00:00,0.5978631611444112,0.23804181929181928
db_bell,2015-03-20 00:00,0.5748716623654124,0.10499188311688311
db_bell,2015-03-21 00:00,0.6251146458422817,0.1952190819509622
db_bell,2015-03-24 00:00,0.17862358691819882,0.5825894129210623
db_bell,2015-03-25 00:00,0.2712905773420479,0.5975140254305481
db_bell,2015-03-26 00:00,0.04546568627450982,0.6494638347763347
db_bell,2015-03-27 00:00,0.7524082977207978,0.0722222222222222
db_bell,2015-04-04 00:00,0.671312141032381,0.16993252016680985
db_bell,2015-04-05 00:00,0.639871500749753,0.14984364222749916
db_bell,2015-04-06 00:00,0.651478021919809,0.2845064945627229
db_bell,2015-04-07 00:00,0.48313445091564655,0.2736509027525218
db_bell,2015-04-08 00:00,0.21038578806339747,0.5647635224863247
db_bell,2015-04-09 00:00,0.2393007366295531,0.5215641556132267
db_bell,2015-04-10 00:00,0.5057490604933786,0.1289394942142787
db_bell,2015-04-11 00:00,0.446957713065289,0.1710532364388063
db_bell,2015-04-12 00:00,0.6001612186052606,0.2385980339105339
db_bell,2015-04-13 00:00,0.6874247210049825,0.22387703141569906
db_bell,2015-04-14 00:00,0.7344842079217079,0.20972618238243237
db_bell,2015-04-15 00:00,0.5464398390960891,0.13437889044506687
db_bell,2015-04-21 00:00,0.21831559675759554,0.5615027217706818
db_bell,2015-04-22 00:00,0.24965238919616906,0.4894649219488515
db_bell,2015-04-23 00:00,0.2000943296517446,0.48329410453146976
db_bell,2015-04-24 00:00,0.18371134854646512,0.46546622604535326
db_bell,2015-04-25 00:00,0.544100878336017,0.17346887239744382
db_bell,2015-04-26 00:00,0.22361577826789222,0.4970291612073621
db_bell,2015-04-27 00:00,0.5166917781174496,0.14701847415719022
db_bell,2015-04-28 00:00,0.48011019145219386,0.18427529727374184
db_bell,2015-04-29 00:00,0.6147675687407829,0.17859848484848484
db_bell,2015-04-30 00:00,0.5589684940059941,0.24783884169590373
db_bell,2015-05-11 00:00,0.6732140995833551,0.1182049353832442
db_bell,2015-05-12 00:00,0.649445199053179,0.19282239993899655
db_bell,2015-05-13 00:00,0.5196486449124357,0.17708816790848042
db_bell,2015-05-14 00:00,0.5789174802286101,0.18927913287109716
db_bell,2015-05-15 00:00,0.17022453186467143,0.5124176187579388
db_bell,2015-05-16 00:00,0.7517758198823647,0.18014396621567758
db_bell,2015-05-17 00:00,0.596202949494059,0.16328355276521025
db_bell,2015-05-18 00:00,0.5955036680381098,0.30714314450527685
db_bell,2015-05-19 00:00,0.6433543734098012,0.17419761848371473
db_bell,2015-05-20 00:00,0.6769326524711927,0.1313943546649429
db_bell,2015-05-21 00:00,0.7075251692496636,0.10275748556998554
db_bell,2015-05-22 00:00,0.6751471577388516,0.20397906491656495
db_bell,2015-06-08 00:00,0.6772760341510342,0.168328373015873
db_bell,2015-06-09 00:00,0.032986111111111105,0.5120031406950443
db_bell,2015-06-10 00:00,0.5870502717658957,0.20545507540508767
db_bell,2015-06-11 00:00,0.6184182508187697,0.32264530812324926
db_bell,2015-06-12 00:00,0.6666243402507139,0.2821969696969697
db_bell,2015-06-13 00:00,0.6760106646825398,0.11994047619047618
db_bell,2015-06-14 00:00,0.7107736025321809,0.23691997953027366
db_bell,2015-08-09 00:00,0.5080060909714612,0.1772304337869738
db_bell,2015-08-12 00:00,0.2848439919365524,0.5324000900650061
db_bell,2015-08-13 00:00,0.2243307329244829,0.41159704643139416
db_bell,2015-08-14 00:00,0.49261363636363636,0.4722113997113997
db_bell,2015-08-15 00:00,0.5588113912231559,0
db_bell,2015-08-16 00:00,1.024913281163281,0.008522727272727265
db_bell,2015-08-17 00:00,0.21813647768368596,0.5153107122011934
db_crf,2016-05-03 00:00,0.4245745303210939,0.26488043511134063
db_crf,2016-05-04 00:00,0.4227501621121079,0.26808183166040306
db_crf,2016-05-05 00:00,0.4776332848375629,0.3377978098290598
db_crf,2016-05-06 00:00,0.44078685451453314,0.2477611461251167
db_crf,2016-05-07 00:00,0.2864010989010989,0
db_crf,2016-05-08 00:00,0.2705729166666667,0.23303571428571426
